chrom	start	end	score
chr3	26929119	26929356	1
chr3	26929250	26929447	3
chr3	26931453	26932478	1
chr3	26932053	26932258	2
chr3	26932968	26933059	2
chr3	26935591	26935667	1
chr3	26936023	26936090	1
chr3	26947334	26947567	2
chr3	26948516	26948539	1
chr3	26957026	26957088	1
chr3	26958353	26958564	1
chr3	26962061	26962110	1
chr3	26972518	26972568	1
chr3	26982966	26983399	3
chr3	26983606	26983824	1
chr3	26983988	26984029	2
chr3	26988932	26989144	1
chr3	26991187	26991346	1
chr3	26991759	26992196	2
chr3	26992354	26992581	1
chr3	26992581	26992758	1
chr3	26993129	26993296	1
chr3	26994246	26994271	1
chr3	26995242	26995491	1
chr3	26999929	27000329	3
chr3	27001029	27001074	4
chr3	27001732	27001946	2
chr3	27002849	27003023	3
chr3	27003284	27003312	1
chr3	27004209	27004509	2
chr3	27004417	27004463	2
chr3	27011366	27011708	1
chr3	27021330	27021395	3
chr3	27022766	27023011	1
chr3	27023231	27023388	1
chr3	27031953	27031989	1
chr3	27038894	27038917	1
chr3	27044692	27044727	1
chr3	27050549	27050835	1
chr3	27052767	27052976	1
chr3	27052935	27053096	1
chr3	27053709	27054339	1
chr3	27059974	27060141	1
chr3	27060127	27060330	2
chr3	27060500	27060671	1
chr3	27063575	27063763	2
chr3	27064330	27064528	4
chr3	27070507	27070564	1
chr3	27072976	27073108	1
chr3	27074823	27074940	1
chr3	27074876	27075231	1
chr3	27083280	27083459	1
chr3	27087436	27087477	1
chr3	27088406	27088649	1
chr3	27088527	27088708	1
chr3	27090213	27090268	1
chr3	27090817	27090960	1
chr3	27092016	27092201	1
chr3	27095860	27096108	1
chr3	27099117	27099447	4
chr3	27099787	27100203	3
chr3	27100172	27100235	2
chr3	27100844	27100896	1
chr3	27100896	27101126	2
chr3	27103073	27103124	2
chr3	27103943	27103979	1
chr3	27109475	27109511	1
chr3	27114276	27114429	2
chr3	27120208	27120736	1
chr3	27120563	27120598	1
chr3	27124489	27124692	1
chr3	27124955	27125196	5
chr3	27127319	27127359	1
chr3	27128849	27129120	3
chr3	27129831	27130098	2
chr3	27132527	27132600	1
chr3	27135020	27135374	1
chr3	27135631	27136100	1
chr3	27138663	27138710	1
chr3	27138821	27139227	2
chr3	27139734	27139965	1
chr3	27144813	27144866	2
chr3	27146989	27147059	6
chr3	27147044	27147258	1
chr3	27147312	27147733	1
chr3	27147530	27147596	1
chr3	27148281	27148323	1
chr3	27154112	27154304	1
chr3	27154961	27155533	1
chr3	27155520	27155698	3
chr3	27155533	27155778	3
chr3	27156308	27156502	2
chr3	27156679	27156974	1
chr3	27160645	27161129	1
chr3	27166320	27166528	2
chr3	27167022	27167184	3
chr3	27167768	27167800	2
chr3	27170314	27170377	1
chr3	27170377	27170403	2
chr3	27171499	27171839	2
chr3	27171501	27171530	3
chr3	27172345	27172417	3
chr3	27172417	27172468	1
chr3	27175202	27175816	1
chr3	27175234	27175405	1
chr3	27175395	27175586	1
chr3	27175451	27175866	3
chr3	27175642	27175818	1
chr3	27175651	27175829	1
chr3	27175760	27175818	1
chr3	27175771	27175821	1
chr3	27175782	27175804	1
chr3	27175787	27175910	1
chr3	27175804	27175887	2
chr3	27175804	27175893	1
chr3	27175804	27175896	3
chr3	27175804	27175903	11
chr3	27175816	27175903	1
chr3	27175818	27175896	3
chr3	27175818	27175898	1
chr3	27175818	27176492	1
chr3	27175823	27176115	2
